objid,g,r,i,z,type,run,rerun,zNN,zNN_err,zRF,zRF_err
1237662697578693716,21.30474,20.29227,19.81526,19.58938,3,4010,301,0.175746,0.039751,0.133416,0.0390431
1237662698115170447,18.68332,17.41906,17.14249,19.00794,3,4010,301,0.213009,0.090461,0.273478,0.115597
1237662698115170959,20.31957,18.91311,18.35619,17.89961,3,4010,301,0.315882,0.067403,0.286556,0.0955044
1237662698115171427,21.61473,20.94219,20.64813,20.33895,3,4010,301,0.215825,0.054281,0.216938,0.0715972
1237662698115171518,21.83304,20.92157,20.68738,20.78923,3,4010,301,0.3682,0.108806,0.401949,0.131308
1237662698115171520,20.96472,19.96653,19.44121,19.14241,3,4010,301,0.133841,0.030664,0.144167,0.0900446
1237662698115171822,21.15533,19.55362,29.2134,18.76353,3,4010,301,0.211486,0.095739,0.224399,0.121334
1237662698115236501,20.86084,20.24505,19.96456,19.73642,3,4010,301,0.171472,0.062919,0.164613,0.0935345
1237662698115236625,20.7811,20.39207,20.14363,20.11045,3,4010,301,0.042733,0.019698,0.0414075,0.0200465
1237662698115236635,22.15214,20.7082,20.16058,19.73996,3,4010,301,0.227351,0.017491,0.237713,0.0476416
1237662698115302023,21.68119,20.77738,20.41832,20.2242,3,4010,301,0.364738,0.102111,0.361984,0.112127
1237662698115302024,22.60901,20.92474,20.44862,20.054,3,4010,301,0.301097,0.023996,0.323544,0.0667265
1237662698115302029,21.93974,20.97246,20.72846,20.46803,3,4010,301,0.309117,0.080934,0.313915,0.0998465
1237662698115302476,21.1984,20.08055,19.70277,19.4512,3,4010,301,0.38418,0.053333,0.372941,0.100761
1237662698115302719,21.26342,20.65159,20.24149,20.13424,3,4010,301,0.074484,0.03669,0.0733439,0.0226544
1237662698115498590,21.05286,19.6489,19.08648,18.69442,3,4010,301,0.216788,0.02905,0.213948,0.0398624
1237662698115498954,21.79129,20.76377,20.11716,19.81543,3,4010,301,0.188472,0.02897,0.242881,0.122892
1237662698115498973,21.12717,19.94834,19.33416,18.90892,3,4010,301,0.167155,0.021664,0.157326,0.030642
1237662698115499082,21.04592,20.2446,20.03537,20.14564,3,4010,301,0.202434,0.092378,0.202772,0.0909612
1237662698115564168,21.73601,20.59514,20.16185,19.87013,3,4010,301,0.37057,0.062791,0.34786,0.109199
1237662698115629403,15.69537,14.70269,14.23157,13.8932,3,4010,301,0.096258,0.017824,0.100014,0.021731
1237662698115629404,16.50539,15.6228,15.20245,14.90928,3,4010,301,0.061269,0.016287,0.0566692,0.0139279
1237662698115629407,21.00397,20.56624,19.80629,19.60515,3,4010,301,0.533538,0.239721,0.383275,0.283529
1237662698115629410,18.39093,19.08526,21.87509,22.94206,3,4010,301,0.151956,0.046888,0.0425168,0.0252472
1237662698115629754,20.95533,20.08568,19.72485,19.39461,3,4010,301,0.307981,0.038165,0.336059,0.0735386
1237662698115629755,22.09805,20.82566,20.54163,20.14877,3,4010,301,0.383687,0.084464,0.330148,0.107626
1237662698115629776,21.06705,20.51897,20.23844,20.09673,3,4010,301,0.029959,0.01574,0.0541554,0.0669032
1237662698115629780,20.47972,19.94971,19.7015,19.443,3,4010,301,0.029712,0.011919,0.0632289,0.0359223
1237662698115629892,21.08088,20.80306,20.54117,20.43922,3,4010,301,0.03841,0.02238,0.0454061,0.0188044
1237662698115630019,21.83931,20.50938,19.89048,19.45339,3,4010,301,0.367696,0.060457,0.304221,0.132962
1237662698115630030,21.93674,20.97398,20.71457,20.746,3,4010,301,0.203247,0.087271,0.160221,0.133732
1237662698115630857,20.63167,20.99774,18.52587,25.58856,3,4010,301,0.602366,0.12702,0.25644,0.259171
1237662698652106976,19.14215,17.729,17.21362,16.8205,3,4010,301,0.212297,0.010399,0.217069,0.0366281
1237662698652106977,19.39913,18.29784,17.7521,17.44223,3,4010,301,0.175463,0.020774,0.16196,0.0323373
1237662698652106996,17.08118,17.0871,17.45372,16.44337,3,4010,301,0.04451,0.045222,0.0694323,0.0797981
1237662698652107260,19.10826,18.17276,17.72555,17.41707,3,4010,301,0.082565,0.012748,0.0795078,0.0182215
1237662698652107522,20.66264,20.01339,19.7374,19.58096,3,4010,301,0.129004,0.069576,0.171902,0.0859219
1237662698652172451,22.12356,20.98148,20.04711,19.99488,3,4010,301,0.375514,0.149349,0.436032,0.223424
1237662698652172802,20.19605,19.10081,18.65896,18.36601,3,4010,301,0.17608,0.018606,0.156234,0.043278
1237662698652172807,20.99636,20.49186,20.00735,19.87127,3,4010,301,0.1143,0.024526,0.151509,0.105027
1237662698652172839,19.42755,18.72007,18.30664,18.02666,3,4010,301,0.085228,0.024417,0.0846358,0.0253448
1237662698652173009,21.79118,20.81054,20.27,20.22841,3,4010,301,0.286373,0.118712,0.11099,0.0895927
1237662698652173229,21.53551,20.2873,19.78461,19.45316,3,4010,301,0.182966,0.019924,0.176657,0.0326331
1237662698652238820,21.07174,19.87874,19.27429,18.80585,3,4010,301,0.300126,0.074796,0.24558,0.0984054
1237662698652304446,20.63181,19.71538,19.30313,18.94026,3,4010,301,0.350248,0.068024,0.299691,0.117924
1237662698652304556,21.26483,20.77612,20.623,20.57152,3,4010,301,0.088859,0.063414,0.126441,0.120696
1237662698652369670,21.60604,20.65002,20.47919,19.856,3,4010,301,0.350217,0.062682,0.343884,0.0968566
1237662698652369697,22.28758,20.76701,20.26432,19.57025,3,4010,301,0.430432,0.090064,0.249419,0.096411
1237662698652370188,22.37627,20.9691,21.40526,20.69323,3,4010,301,0.347348,0.130353,0.38734,0.162677
1237662698652435206,21.05707,20.42473,20.06423,19.91417,3,4010,301,0.218307,0.024383,0.209536,0.0689285
1237662698652435386,21.1898,20.58979,20.23638,20.19171,3,4010,301,0.18823,0.212219,0.192073,0.193791
1237662698652435730,20.24224,19.50681,19.118,19.17685,3,4010,301,0.160093,0.068092,0.12294,0.0588572
1237662223555428462,21.04077,19.795,19.31644,18.87767,3,3900,301,0.383784,0.058428,0.259045,0.100215
1237662223555428819,20.48006,20.01896,19.67915,19.46383,3,3900,301,0.070245,0.022991,0.0614163,0.021745
1237662223555428833,19.10868,18.14774,17.65077,17.23019,3,3900,301,0.089395,0.023452,0.0963384,0.0273967
1237662223555428858,19.04497,18.20567,17.74787,17.47137,3,3900,301,0.116171,0.027543,0.109433,0.032923
1237662223555429115,21.64481,20.16524,19.62321,19.24383,3,3900,301,0.321108,0.070556,0.278469,0.0892795
1237662223555429183,20.46933,19.66755,19.3843,19.05201,3,3900,301,0.286888,0.033235,0.25251,0.0655032
1237662223555429341,22.26271,20.61939,19.885,19.43575,3,3900,301,0.380644,0.038062,0.410537,0.0594029
1237662223555429401,21.9953,20.86273,20.33368,20.16193,3,3900,301,0.317978,0.081817,0.259239,0.100243
1237662223555429402,21.73078,20.73596,20.27477,20.20647,3,3900,301,0.178309,0.073496,0.101567,0.0249087
1237662223555429493,22.15587,20.72506,20.27403,20.01676,3,3900,301,0.321493,0.044325,0.245657,0.106449
1237662223555429505,22.08713,20.89423,20.37557,19.99709,3,3900,301,0.217626,0.030307,0.201306,0.0449445
1237662223555429575,22.36402,20.91518,20.3181,19.79839,3,3900,301,0.282679,0.058306,0.242911,0.0693766
1237662223555494532,19.84444,18.8792,18.43945,18.03503,3,3900,301,0.206901,0.032555,0.171068,0.0590113
1237662223555494533,21.10848,20.00262,19.48489,19.00868,3,3900,301,0.28074,0.058236,0.217859,0.0851685
1237662223555494861,21.98251,20.75179,20.06109,19.66343,3,3900,301,0.250583,0.049186,0.231259,0.122888
1237662223555494865,22.04632,20.44802,19.71645,19.34327,3,3900,301,0.424386,0.037195,0.359454,0.101725
